Name,From,To,Distance,Price
Koln Bonn,194,278,493,7416
Koln Bonn,194,678,1508,9347
Koln Bonn,194,724,545,8088
Koln Bonn,194,715,3090,8801
Koln Bonn,194,176,1576,7101
Koln Bonn,194,201,464,9821
Koln Bonn,194,701,710,10742
Koln Bonn,194,725,747,9825
Koln Bonn,194,700,668,8968
Koln Bonn,194,339,968,3429
Koln Bonn,194,574,1888,3361
Koln Bonn,194,563,971,8094
Koln Bonn,194,562,872,3758
Koln Bonn,194,755,391,6584
Koln Bonn,194,478,2989,586
Koln Bonn,194,577,1829,544
Koln Bonn,194,474,3049,10649
Koln Bonn,194,522,3460,6378
Koln Bonn,194,578,1243,1124
Koln Bonn,194,196,436,8632
Koln Bonn,194,3137,1664,7012
Koln Bonn,194,479,3223,10160
Koln Bonn,194,281,230,4343
Koln Bonn,194,239,639,10095
Koln Bonn,194,564,1524,7966
Koln Bonn,194,314,1067,8863
Koln Bonn,194,571,1051,1135
Koln Bonn,194,2185,3896,348
Koln Bonn,194,757,2328,7171
Koln Bonn,194,754,440,2835
Koln Bonn,194,767,1996,9917
Koln Bonn,194,252,515,3209
Koln Bonn,194,1999,2101,4854
Koln Bonn,194,333,859,1917
Koln Bonn,194,335,844,6112
Koln Bonn,194,778,1484,9761
Koln Bonn,194,1391,1642,1753
Koln Bonn,194,502,4691,9863
Koln Bonn,194,2047,2808,8501
Koln Bonn,194,768,2103,10010
Dusseldorf,195,211,448,9406
Dusseldorf,195,2172,986,8668
Dusseldorf,195,367,1164,4795
Dusseldorf,195,568,1167,9513
Dusseldorf,195,607,992,6670
Dusseldorf,195,567,1148,8736
Dusseldorf,195,675,1363,2120
Dusseldorf,195,2019,415,4191
Dusseldorf,195,686,1349,891
Dusseldorf,195,679,1669,6658
Dusseldorf,195,243,704,3746
Dusseldorf,195,557,1304,3605
Dusseldorf,195,189,489,5520
Dusseldorf,195,287,917,10093
Dusseldorf,195,752,563,8485
Dusseldorf,195,2341,577,11081
Dusseldorf,195,648,2304,4668
Dusseldorf,195,573,1442,9030
Dusseldorf,195,335,870,7869
Dusseldorf,195,198,381,9153
Dusseldorf,195,612,630,10499
Dusseldorf,195,576,1440,11106
Dusseldorf,195,619,883,4002
Dusseldorf,195,688,645,1883
Dusseldorf,195,242,832,3921
Dusseldorf,195,197,364,10161
Dusseldorf,195,687,1174,1327
Dusseldorf,195,1971,1341,3508
Dusseldorf,195,336,703,7217
Dusseldorf,195,713,545,10615
Dusseldorf,195,782,1451,3184
Dusseldorf,195,671,1728,4526
Dusseldorf,195,561,1120,560
Dusseldorf,195,678,1562,5533
Dusseldorf,195,690,680,9390
Dusseldorf,195,701,764,1959
Dusseldorf,195,339,984,558
Dusseldorf,195,340,707,3382
Dusseldorf,195,563,1024,8972
Dusseldorf,195,1933,2005,7791
Dusseldorf,195,652,1987,10992
Dusseldorf,195,637,763,4767
Dusseldorf,195,1009,5030,6899
Dusseldorf,195,1851,6033,7148
Dusseldorf,195,1696,9154,7817
Dusseldorf,195,254,503,964
Dusseldorf,195,1734,7617,4182
Dusseldorf,195,1866,6807,10396
Dusseldorf,195,1848,7654,10460
Dusseldorf,195,478,3006,6153
Dusseldorf,195,577,1853,8590
Dusseldorf,195,564,1555,398
Dusseldorf,195,759,2481,10878
Dusseldorf,195,780,1236,6869
Dusseldorf,195,655,1651,3483
Dusseldorf,195,608,985,4495
Dusseldorf,195,294,620,4866
Dusseldorf,195,850,8456,7257
Dusseldorf,195,1355,7967,8894
Dusseldorf,195,179,1961,2729
Dusseldorf,195,1999,2104,4716
Dusseldorf,195,728,1968,10144
Dusseldorf,195,703,1134,6764
Dusseldorf,195,707,895,8480
Dusseldorf,195,2047,2815,10807
Dusseldorf,195,474,3066,1592
Dusseldorf,195,250,697,8967
Dusseldorf,195,213,416,10509
Dusseldorf,195,193,340,1119
Dusseldorf,195,217,1511,2548
Dusseldorf,195,522,3511,8239
Dusseldorf,195,251,679,3880
Dusseldorf,195,653,2276,3963
Dusseldorf,195,657,1790,4814
Dusseldorf,195,477,3189,4166
Dusseldorf,195,578,1285,9286
Dusseldorf,195,661,2056,7696
Dusseldorf,195,196,486,4329
Dusseldorf,195,705,1292,3553
Dusseldorf,195,3137,1715,8624
Dusseldorf,195,617,849,2703
Dusseldorf,195,732,2952,2199
Dusseldorf,195,790,7444,1305
Dusseldorf,195,789,7389,5300
Dusseldorf,195,662,1754,10965
Dusseldorf,195,663,2365,3282
Dusseldorf,195,1943,1283,5637
Dusseldorf,195,2118,3704,7397
Dusseldorf,195,2176,2077,2375
Dusseldorf,195,667,2188,3453
Dusseldorf,195,476,3242,9892
Dusseldorf,195,278,457,609
Dusseldorf,195,200,338,10678
Dusseldorf,195,724,595,11016
Dusseldorf,195,479,3237,3413
Dusseldorf,195,715,3137,1434
Dusseldorf,195,201,470,8526
Dusseldorf,195,725,789,4827
Dusseldorf,195,878,7922,8458
Dusseldorf,195,755,444,5650
Dusseldorf,195,672,1870,9516
Dusseldorf,195,1790,7253,8004
Dusseldorf,195,626,393,2369
Dusseldorf,195,281,178,7336
Dusseldorf,195,293,519,5732
Dusseldorf,195,253,467,3248
Dusseldorf,195,239,600,7214
Dusseldorf,195,279,716,2942
Dusseldorf,195,241,657,846
Dusseldorf,195,1627,7817,8480
Dusseldorf,195,485,2685,3394
Dusseldorf,195,665,2234,7520
Dusseldorf,195,769,2379,2506
Dusseldorf,195,555,2819,872
Dusseldorf,195,574,1909,1982
Dusseldorf,195,1011,5010,4036
Dusseldorf,195,191,188,7876
Dusseldorf,195,1394,1745,2902
Dusseldorf,195,301,189,942
Dusseldorf,195,720,1821,2054
Dusseldorf,195,673,1001,4574
Dusseldorf,195,1702,6054,3077
Dusseldorf,195,269,898,3713
Dusseldorf,195,342,793,8462
Dusseldorf,195,721,792,6088
Dusseldorf,195,723,633,6949
Dusseldorf,195,261,702,4152
Dusseldorf,195,1053,9354,6980
Dusseldorf,195,314,1027,1882
Dusseldorf,195,747,1619,4881
Dusseldorf,195,1423,2064,1830
Dusseldorf,195,584,1427,4087
Dusseldorf,195,258,638,7605
Dusseldorf,195,768,2152,1699
Dusseldorf,195,765,2631,9940
Dusseldorf,195,757,2370,4566
Dusseldorf,195,1965,3379,3148
Dusseldorf,195,2561,3520,3799
Dusseldorf,195,3176,2214,1864
Dusseldorf,195,1421,2074,8913
Dusseldorf,195,767,2040,6932
Dusseldorf,195,736,1863,1003
Dusseldorf,195,176,1627,3474
Dusseldorf,195,252,486,9454
Dusseldorf,195,2185,3929,6158
Dusseldorf,195,664,1858,1064
Dusseldorf,195,781,1372,9138
Franz Josef Strauss,196,704,633,9443
Franz Josef Strauss,196,209,462,5383
Franz Josef Strauss,196,1933,1518,6141
Franz Josef Strauss,196,648,1818,7920
Franz Josef Strauss,196,652,1505,5843
Franz Josef Strauss,196,671,1242,2877
Franz Josef Strauss,196,254,944,9552
Franz Josef Strauss,196,1835,6648,4283
Franz Josef Strauss,196,478,3059,2491
Franz Josef Strauss,196,577,1856,6930
Franz Josef Strauss,196,564,1497,4857
Franz Josef Strauss,196,1005,2749,4352
Franz Josef Strauss,196,654,1913,7309
Franz Josef Strauss,196,1009,4583,9521
Franz Josef Strauss,196,759,2003,5099
Franz Josef Strauss,196,677,984,9652
Franz Josef Strauss,196,686,1034,9496
Franz Josef Strauss,196,655,1169,1815
Franz Josef Strauss,196,194,436,1394
Franz Josef Strauss,196,679,1238,1785
Franz Josef Strauss,196,1999,1947,3962
Franz Josef Strauss,196,195,486,8878
Franz Josef Strauss,196,728,2040,2654
Franz Josef Strauss,196,2047,2951,7921
Franz Josef Strauss,196,474,3117,6742
Franz Josef Strauss,196,213,767,6477
Franz Josef Strauss,196,193,600,1431
Franz Josef Strauss,196,217,1577,3870
Franz Josef Strauss,196,573,1345,1398
Franz Josef Strauss,196,653,1790,7477
Franz Josef Strauss,196,657,1308,1119
Franz Josef Strauss,196,477,3255,1992
Franz Josef Strauss,196,576,1498,9618
Franz Josef Strauss,196,578,1120,534
Franz Josef Strauss,196,661,1573,4007
Franz Josef Strauss,196,705,853,994
Franz Josef Strauss,196,3137,1368,3508
Franz Josef Strauss,196,687,847,9208
Franz Josef Strauss,196,1971,1216,1964
Franz Josef Strauss,196,789,7768,3826
Franz Josef Strauss,196,662,1271,7924
Franz Josef Strauss,196,663,1880,5059
Franz Josef Strauss,196,1943,1257,7301
Franz Josef Strauss,196,2176,1613,3652
Franz Josef Strauss,196,667,1703,8909
Franz Josef Strauss,196,479,3319,9939
Franz Josef Strauss,196,715,2656,574
Franz Josef Strauss,196,201,479,2801
Franz Josef Strauss,196,725,356,952
Franz Josef Strauss,196,672,1389,6399
Franz Josef Strauss,196,553,1102,6714
Franz Josef Strauss,196,89,6168,806
Franz Josef Strauss,196,97,8365,2726
Franz Josef Strauss,196,125,6659,535
Franz Josef Strauss,196,1790,7720,1005
Franz Josef Strauss,196,626,683,3793
Franz Josef Strauss,196,1430,6317,2881
Franz Josef Strauss,196,1477,5910,2167
Franz Josef Strauss,196,490,2319,1951
Franz Josef Strauss,196,491,2499,2268
Franz Josef Strauss,196,703,728,3299
Franz Josef Strauss,196,293,841,3849
Franz Josef Strauss,196,179,1610,761
Franz Josef Strauss,196,244,1093,5476
Franz Josef Strauss,196,1627,7741,5717
Franz Josef Strauss,196,1661,8797,6718
Franz Josef Strauss,196,191,300,5463
Franz Josef Strauss,196,555,2341,7960
Franz Josef Strauss,196,485,2694,6977
Franz Josef Strauss,196,665,1750,4286
Franz Josef Strauss,196,769,1895,7784
Franz Josef Strauss,196,522,3024,7057
Franz Josef Strauss,196,476,3344,3353
Franz Josef Strauss,196,574,1943,6022
Franz Josef Strauss,196,367,1318,7102
Franz Josef Strauss,196,314,1318,8959
Franz Josef Strauss,196,287,1385,10108
Franz Josef Strauss,196,286,1496,1695
Franz Josef Strauss,196,1011,4568,9507
Franz Josef Strauss,196,675,892,10725
Franz Josef Strauss,196,707,507,7136
Franz Josef Strauss,196,701,319,5941
Franz Josef Strauss,196,700,335,9461
Franz Josef Strauss,196,13,2698,6842
Franz Josef Strauss,196,568,1095,6107
Franz Josef Strauss,196,1183,9836,9081
Franz Josef Strauss,196,709,311,5554
Franz Josef Strauss,196,782,966,3800
Franz Josef Strauss,196,281,665,6721
Franz Josef Strauss,196,720,1405,4267
Franz Josef Strauss,196,301,431,3134
Franz Josef Strauss,196,768,1668,1366
Franz Josef Strauss,196,2172,540,6672
Franz Josef Strauss,196,780,761,906
Franz Josef Strauss,196,239,1062,9060
Franz Josef Strauss,196,567,1269,3022
Franz Josef Strauss,196,1900,8808,453
Franz Josef Strauss,196,696,426,7651
Franz Josef Strauss,196,1680,6198,3579
Franz Josef Strauss,196,203,563,2487
Franz Josef Strauss,196,184,598,10289
Franz Josef Strauss,196,2019,328,2396
Franz Josef Strauss,196,673,567,9737
Franz Josef Strauss,196,521,2623,399
Franz Josef Strauss,196,743,911,4536
Franz Josef Strauss,196,1894,7368,6482
Franz Josef Strauss,196,294,810,5328
Franz Josef Strauss,196,557,818,991
Franz Josef Strauss,196,1388,1919,5779
Franz Josef Strauss,196,189,340,8054
Franz Josef Strauss,196,757,1915,10052
Franz Josef Strauss,196,1702,6520,7232
Franz Josef Strauss,196,192,512,2427
Franz Josef Strauss,196,333,815,11140
Franz Josef Strauss,196,691,493,1843
Franz Josef Strauss,196,342,1036,2548
Franz Josef Strauss,196,721,313,10815
Franz Josef Strauss,196,752,489,5348
Franz Josef Strauss,196,202,480,4207
Franz Josef Strauss,196,1469,9034,10718
Franz Josef Strauss,196,1097,9381,5871
Franz Josef Strauss,196,1810,6860,6101
Franz Josef Strauss,196,1924,8521,6166
Franz Josef Strauss,196,767,1574,8633
Franz Josef Strauss,196,1851,6498,10077
Franz Josef Strauss,196,380,8412,7052
Franz Josef Strauss,196,1387,1401,9823
Franz Josef Strauss,196,777,1295,10746
Franz Josef Strauss,196,334,613,7167
Franz Josef Strauss,196,1696,9638,11119
Franz Josef Strauss,196,1394,1744,6145
Franz Josef Strauss,196,198,343,10659
Franz Josef Strauss,196,736,1986,6354
Franz Josef Strauss,196,1392,902,1948
Franz Josef Strauss,196,612,586,8738
Franz Josef Strauss,196,241,1132,8334
Franz Josef Strauss,196,829,9860,11040
Franz Josef Strauss,196,616,747,8532
Franz Josef Strauss,196,688,381,10628
Franz Josef Strauss,196,617,630,10673
Franz Josef Strauss,196,197,137,8725
Franz Josef Strauss,196,1393,1438,2471
Franz Josef Strauss,196,1866,7289,3753
Franz Josef Strauss,196,747,1175,1098
Franz Josef Strauss,196,208,427,4425
Franz Josef Strauss,196,682,1135,4186
Franz Josef Strauss,196,336,576,9516
Franz Josef Strauss,196,713,264,4949
Franz Josef Strauss,196,706,530,2482
Franz Josef Strauss,196,373,619,1560
Franz Josef Strauss,196,285,660,4197
Franz Josef Strauss,196,978,4001,3525
Franz Josef Strauss,196,748,976,10468
Franz Josef Strauss,196,1693,9460,7726
Franz Josef Strauss,196,739,713,9766
Franz Josef Strauss,196,561,639,2130
Franz Josef Strauss,196,200,193,723
Franz Josef Strauss,196,678,1109,1226
Franz Josef Strauss,196,1953,2694,9812
Franz Josef Strauss,196,550,992,10914
Franz Josef Strauss,196,595,961,4638
Franz Josef Strauss,196,690,471,5386
Franz Josef Strauss,196,698,308,5811
Franz Josef Strauss,196,751,777,10511
Franz Josef Strauss,196,584,1389,5776
Franz Josef Strauss,196,339,779,1854
Franz Josef Strauss,196,340,478,2300
Franz Josef Strauss,196,563,545,10228
Franz Josef Strauss,196,562,435,11210
Franz Josef Strauss,196,755,261,6146
Franz Josef Strauss,196,1946,1166,3439
Franz Josef Strauss,196,1032,4303,1486
Franz Josef Strauss,196,734,1794,1307
Franz Josef Strauss,196,2037,4741,3038
Franz Josef Strauss,196,1591,10061,3782
Franz Josef Strauss,196,1965,2945,10399
Franz Josef Strauss,196,2561,3087,9210
Franz Josef Strauss,196,1421,1932,5994
Franz Josef Strauss,196,754,359,7652
Franz Josef Strauss,196,176,1284,456
Franz Josef Strauss,196,270,1333,666
Franz Josef Strauss,196,252,916,7917
Franz Josef Strauss,196,278,913,1504
Franz Josef Strauss,196,1402,2115,3969
Franz Josef Strauss,196,1415,3373,9313
Franz Josef Strauss,196,1725,8717,1323
Franz Josef Strauss,196,591,1033,8384
Franz Josef Strauss,196,637,1011,10191
Franz Josef Strauss,196,1015,4906,1095
Franz Josef Strauss,196,502,4766,10697
Franz Josef Strauss,196,1422,1989,6159
Nurnberg,197,195,364,10161
Nurnberg,197,193,465,5454
Nurnberg,197,201,374,6879
Nurnberg,197,671,1366,554
Nurnberg,197,759,2117,2050
Nurnberg,197,179,1735,2293
Nurnberg,197,474,3152,10827
Nurnberg,197,648,1948,3616
Nurnberg,197,522,3150,5549
Nurnberg,197,573,1409,10678
Nurnberg,197,653,1913,10107
Nurnberg,197,477,3286,4530
Nurnberg,197,3137,1492,9588
Nurnberg,197,687,963,4354
Nurnberg,197,1971,1286,6219
Nurnberg,197,663,2001,10339
Nurnberg,197,2176,1715,6101
Nurnberg,197,667,1825,9884
Nurnberg,197,561,774,9938
Nurnberg,197,479,3346,780
Nurnberg,197,725,432,9399
Nurnberg,197,626,622,4655
Nurnberg,197,577,1899,10468
Nurnberg,197,564,1553,6201
Nurnberg,197,278,809,8434
Nurnberg,197,568,1149,4523
Nurnberg,197,281,542,2858
Nurnberg,197,191,191,9998
Nurnberg,197,196,137,2735
Nurnberg,197,755,292,5540
Nurnberg,197,767,1678,1400
Nurnberg,197,2875,268,8392
Frankfurt Main,191,2341,576,10833
Frankfurt Main,191,777,1541,3145
Frankfurt Main,191,1933,1818,11199
Frankfurt Main,191,648,2116,1967
Frankfurt Main,191,671,1543,2094
Frankfurt Main,191,1894,7075,8339
Frankfurt Main,191,1782,8276,3817
Frankfurt Main,191,1586,10003,9118
Frankfurt Main,191,254,655,6788
Frankfurt Main,191,1835,6354,1050
Frankfurt Main,191,564,1491,7406
Frankfurt Main,191,1005,3048,3397
Frankfurt Main,191,1009,4867,1728
Frankfurt Main,191,780,1058,1056
Frankfurt Main,191,655,1463,7363
Frankfurt Main,191,679,1489,10835
Frankfurt Main,191,1999,2055,3186
Frankfurt Main,191,250,805,4238
Frankfurt Main,191,217,1543,2944
Frankfurt Main,191,573,1362,5809
Frankfurt Main,191,253,620,10675
Frankfurt Main,191,576,1419,1228
Frankfurt Main,191,1971,1250,5246
Frankfurt Main,191,1943,1275,9037
Frankfurt Main,191,201,434,10397
Frankfurt Main,191,725,623,10165
Frankfurt Main,191,1032,4591,5682
Frankfurt Main,191,973,4131,2772
Frankfurt Main,191,555,2640,4794
Frankfurt Main,191,705,1110,7281
Frankfurt Main,191,584,1369,10579
Frankfurt Main,191,1946,1247,6777
Frankfurt Main,191,60,6000,9155
Frankfurt Main,191,89,5870,8511
Frankfurt Main,191,97,8086,6197
Frankfurt Main,191,113,7551,8315
Frankfurt Main,191,125,6360,704
Frankfurt Main,191,1790,7425,10183
Frankfurt Main,191,626,448,6013
Frankfurt Main,191,1771,6696,1746
Frankfurt Main,191,1851,6204,3989
Frankfurt Main,191,133,1542,2464
Frankfurt Main,191,1497,7425,6528
Frankfurt Main,191,1430,6576,9752
Frankfurt Main,191,1477,6133,2923
Frankfurt Main,191,1505,7600,401
Frankfurt Main,191,1442,6693,6302
Frankfurt Main,191,490,2275,1846
Frankfurt Main,191,2389,1917,1445
Frankfurt Main,191,1252,9087,7845
Frankfurt Main,191,703,957,3560
Frankfurt Main,191,1528,8727,453
Frankfurt Main,191,692,512,3128
Frankfurt Main,191,1529,9667,1005
Frankfurt Main,191,1397,1401,7182
